bgy_name,cluster_id
National Park,0
Bariis,0
Imalnod,0
Mariawa,0
Estanza,0
Banquerohan,0
Cagbacong,0
San Francisco,0
Buenavista,0
Bagacay,0
Homapon,0
Mabinit,0
Matanag,0
Bogña,0
Bogtong,0
Pawa,0
Maslog,0
Lamba,0
Padang,0
Buyuan,0
Bigaa,0
Taysan,0
Puro,0
Buraguis,0
Pinaric,0
Dapdap,0
Victory Village South,0
Victory Village North,1
Centro Baybay,2
Sabang,2
Pigcale,2
Dinagaan,1
Lapu Lapu,1
Binanuahan East,1
Binanuahan West,1
Cabagñan East,1
Imperial Court Subd,1
Rizal Street,1
Tinago,2
Kapantawan,1
Oro Site Magallanes,1
PNR Peñaranda,1
Gogon,1
Cruzada,1
EMs Barrio,1
EMs Barrio South,1
Bañadero,0
EMs Barrio East,1
Sagpon,1
Sagmin,1
Maoyod,0
Tula Tula,0
Cabugao,2
Bagumbayan,1
Ilawod West,2
Ilawod,1
Cabagñan,1
Bitano,1
Kawit-East Washington Drive,1
Baño,1
Rizal St Ilawod,1
Cabagñan West,1
Ilawod East,1
Bagong Abre,0
Arimbay,0
Bonot,1
Rawis,1
San Roque,1
Dita,0
San Joaquin,0
Tamaoyan,0
