event_id,event_start,event_end,event_total_mm,peak_1hr_mm,duration_hours,wet_hours,avg_intensity,peak_ratio,rain_72h_prior,typhoon_season,cluster_id,PC1,PC2
11,2000-01-12 19:00:00,2000-01-13 16:00:00,51.461,8.693,22,15,3.4307,0.1689,10.085,0,0,-0.5246677075697466,-0.5007435959509822
17,2000-01-31 10:00:00,2000-02-01 23:00:00,113.471,13.259,38,29,3.9128,0.1168,0.0,0,1,0.6262188388962592,-0.8467252437126918
18,2000-02-02 01:00:00,2000-02-03 17:00:00,274.253,54.001,41,31,8.8469,0.1969,113.471,0,2,6.314416692585792,2.774746363356209
25,2000-02-08 15:00:00,2000-02-11 09:00:00,231.325,45.57,67,40,5.7831,0.197,2.228,0,2,4.809069710603397,-0.7290958394604958
26,2000-02-11 16:00:00,2000-02-12 07:00:00,38.666,7.289,16,11,3.5151,0.1885,230.758,0,3,-0.765797137372109,6.308842182066982
29,2000-02-16 00:00:00,2000-02-17 01:00:00,120.339,22.538,26,17,7.0788,0.1873,7.948,0,1,1.93531875729878,-0.5128522337171364
39,2000-03-02 05:00:00,2000-03-04 01:00:00,96.043,13.119,45,35,2.7441,0.1366,20.169,0,1,0.2680987107402534,-0.2382022750039668
47,2000-03-15 07:00:00,2000-03-16 16:00:00,63.371,10.652,34,20,3.1686,0.1681,0.0,0,0,-0.2334933233999352,-0.8291798443154462
48,2000-03-16 19:00:00,2000-03-21 21:00:00,255.976,35.296,123,93,2.7524,0.1379,63.371,0,2,4.010831186943038,0.9955231528142344
52,2000-03-25 15:00:00,2000-03-27 08:00:00,70.648,12.307,42,28,2.5231,0.1742,11.379,0,0,-0.1089519387920813,-0.4930808607398302
53,2000-03-28 17:00:00,2000-03-29 19:00:00,25.633,4.285,27,16,1.6021,0.1672,66.668,0,1,-1.4290135599044391,1.2111232297190604
60,2000-04-04 19:00:00,2000-04-07 13:00:00,175.206,22.306,67,53,3.3058,0.1273,22.398,0,1,1.9822237382600052,-0.1958020141907441
74,2000-05-08 14:00:00,2000-05-09 09:00:00,24.559,8.54,20,8,3.0699,0.3477,16.543,0,0,-0.9464911320966728,-0.2559861305136869
123,2000-06-26 14:00:00,2000-06-27 12:00:00,47.463,12.374,23,12,3.9552,0.2607,28.624,1,1,-0.1988496399849294,0.105804811429347
